Area,Year,Total Food for Area,Total Feed for Area
Mexico,2005,151831,38100
Mexico,2006,154963,41787
Mexico,2007,158638,41411
Mexico,2008,159592,46366
Mexico,2009,158341,39782
Mexico,2010,157626,46171
Mexico,2011,159113,40789
Mexico,2012,163840,45406
Mexico,2013,166591,43530
Nigeria,1961,40490,9362
Nigeria,1962,42072,9616
Nigeria,1963,43072,10242
Nigeria,1964,43977,10548
Nigeria,1965,44357,11185
Nigeria,1966,44154,11097
Nigeria,1967,46416,11696
Nigeria,1968,47471,12245
Nigeria,1969,50793,13575
Nigeria,1970,56548,15340
Nigeria,1971,53951,13428
Nigeria,1972,50881,11780
Nigeria,1973,54420,12234
Nigeria,1974,56794,13119
Nigeria,1975,60398,14095
Nigeria,1976,59934,13124
Nigeria,1977,61573,12518
Nigeria,1978,63465,12697
Nigeria,1979,64332,12643
Nigeria,1980,67868,12656
Nigeria,1981,69678,12448
Nigeria,1982,72141,13228
Nigeria,1983,67578,11843
Nigeria,1984,70716,13414
Nigeria,1985,74117,14316
Nigeria,1986,78084,16029
Nigeria,1987,80331,17602
Nigeria,1988,85065,20731
Nigeria,1989,92048,22405
Nigeria,1990,97930,25612
Nigeria,1991,111893,31631
Nigeria,1992,119593,35245
Nigeria,1993,126798,37074
Nigeria,1994,129709,38916
Nigeria,1995,135346,39497
Nigeria,1996,138658,39121
Nigeria,1997,144216,39708
Nigeria,1998,151026,40562
Nigeria,1999,154034,41271
Nigeria,2000,159045,40337
Nigeria,2001,161429,40341
Nigeria,2002,161475,54119
Nigeria,2003,166121,57634
Nigeria,2004,176407,62278
Nigeria,2005,181871,67046
Nigeria,2006,189915,74361
Nigeria,2007,192754,67441
Nigeria,2008,197503,70773
Nigeria,2009,198330,59455
Nigeria,2010,208392,67222
Nigeria,2011,218174,77662
Nigeria,2012,221458,76333
Nigeria,2013,228877,72046
Russian Federation,1961,0,0
Russian Federation,1962,0,0
Russian Federation,1963,0,0
Russian Federation,1964,0,0
Russian Federation,1965,0,0
Russian Federation,1966,0,0
Russian Federation,1967,0,0
Russian Federation,1968,0,0
Russian Federation,1969,0,0
Russian Federation,1970,0,0
Russian Federation,1971,0,0
Russian Federation,1972,0,0
Russian Federation,1973,0,0
Russian Federation,1974,0,0
Russian Federation,1975,0,0
Russian Federation,1976,0,0
Russian Federation,1977,0,0
Russian Federation,1978,0,0
Russian Federation,1979,0,0
Russian Federation,1980,0,0
Russian Federation,1981,0,0
Russian Federation,1982,0,0
Russian Federation,1983,0,0
Russian Federation,1984,0,0
Russian Federation,1985,0,0
Russian Federation,1986,0,0
Russian Federation,1987,0,0
Russian Federation,1988,0,0
Russian Federation,1989,0,0
Russian Federation,1990,0,0
Russian Federation,1991,0,0
Russian Federation,1992,206141,249345
Russian Federation,1993,209046,200347
Russian Federation,1994,205127,148771
Russian Federation,1995,206353,131652
Russian Federation,1996,203415,116700
Russian Federation,1997,210406,125445
Russian Federation,1998,210229,84278
Russian Federation,1999,210236,82878
Russian Federation,2000,210051,100190
Russian Federation,2001,214345,132042
Russian Federation,2002,220410,108538
Russian Federation,2003,224167,113148
Russian Federation,2004,231215,127018
Russian Federation,2005,240570,116585
Russian Federation,2006,245278,121705
Russian Federation,2007,252448,99829
Russian Federation,2008,253457,137767
Russian Federation,2009,252070,105624
Russian Federation,2010,251155,73034
Russian Federation,2011,254777,122898
Russian Federation,2012,256646,90519
Russian Federation,2013,253892,117021
United States of America,1961,324934,234413
United States of America,1962,327778,228541
United States of America,1963,329060,223570
United States of America,1964,337165,218512
United States of America,1965,340652,248636
United States of America,1966,349589,246540
United States of America,1967,354981,248463
United States of America,1968,362562,266374
United States of America,1969,368960,278909
United States of America,1970,374112,272464
United States of America,1971,382966,295939
United States of America,1972,386385,304629
United States of America,1973,392059,291120
United States of America,1974,395138,218012
United States of America,1975,399697,242520
United States of America,1976,412831,239408
United States of America,1977,419890,254690
United States of America,1978,424190,287239
United States of America,1979,434961,295581
United States of America,1980,435847,264394
United States of America,1981,441333,276533
United States of America,1982,448151,303364
United States of America,1983,457920,272937
United States of America,1984,470232,297278
United States of America,1985,481098,300498
United States of America,1986,490672,322388
United States of America,1987,509555,322779
United States of America,1988,503143,257678
United States of America,1989,511442,286012
United States of America,1990,523131,312795
United States of America,1991,523628,307183
United States of America,1992,533382,330817
United States of America,1993,543755,306820
United States of America,1994,563351,349989
United States of America,1995,562505,289208
United States of America,1996,565290,340965
United States of America,1997,575489,335415
United States of America,1998,582744,338833
United States of America,1999,595079,344462
United States of America,2000,613582,351381
United States of America,2001,605976,345227
United States of America,2002,619498,318474
United States of America,2003,625108,337601
United States of America,2004,634991,362504
United States of America,2005,628442,353682
United States of America,2006,630314,318577
United States of America,2007,636954,328510
United States of America,2008,627922,308173
United States of America,2009,630226,299399
United States of America,2010,628586,280892
United States of America,2011,625116,267300
United States of America,2012,643044,267493
United States of America,2013,641776,296863
