Area,Year,Total Food for Area,Total Feed for Area
Brazil,1961,71616,54885
Brazil,1962,76420,66116
Brazil,1963,79684,72494
Brazil,1964,84811,69887
Brazil,1965,88252,63808
Brazil,1966,90654,74368
Brazil,1967,95667,68890
Brazil,1968,100973,87043
Brazil,1969,103456,78968
Brazil,1970,104988,69156
Brazil,1971,106731,68378
Brazil,1972,108780,67397
Brazil,1973,106550,65846
Brazil,1974,113724,66634
Brazil,1975,116778,78112
Brazil,1976,123480,70662
Brazil,1977,124992,63165
Brazil,1978,126325,72336
Brazil,1979,134379,75099
Brazil,1980,140531,77389
Brazil,1981,134544,77793
Brazil,1982,143202,69807
Brazil,1983,141723,54857
Brazil,1984,141230,59727
Brazil,1985,157332,73152
Brazil,1986,159187,72544
Brazil,1987,163722,82215
Brazil,1988,167256,80618
Brazil,1989,177633,85305
Brazil,1990,175088,81171
Brazil,1991,185921,82250
Brazil,1992,184619,93013
Brazil,1993,182288,87370
Brazil,1994,191684,94109
Brazil,1995,214600,96046
Brazil,1996,213563,82575
Brazil,1997,223644,81104
Brazil,1998,220786,80273
Brazil,1999,229515,81884
Brazil,2000,236180,96094
Brazil,2001,230164,91853
Brazil,2002,246704,86338
Brazil,2003,249369,85753
Brazil,2004,259529,94106
Brazil,2005,261759,95399
Brazil,2006,272143,104356
Brazil,2007,276176,107895
Brazil,2008,290742,132804
Brazil,2009,295670,114668
Brazil,2010,313681,115429
Brazil,2011,327899,121540
Brazil,2012,315024,124223
Brazil,2013,312488,127479
China,1961,434936,59603
China,1962,448867,68142
China,1963,438531,79625
China,1964,434950,90587
China,1965,490057,95238
China,1966,520080,113483
China,1967,520028,119837
China,1968,521252,118436
China,1969,540263,117856
China,1970,560734,140150
China,1971,570770,140984
China,1972,569838,133482
China,1973,624304,170222
China,1974,627617,172592
China,1975,638827,178446
China,1976,627698,177556
China,1977,657935,191672
China,1978,713290,214317
China,1979,703207,224282
China,1980,716414,232284
China,1981,731646,216446
China,1982,785315,230065
China,1983,829966,267613
China,1984,861422,278364
China,1985,871116,256402
China,1986,912538,258092
China,1987,953589,276920
China,1988,974224,278885
China,1989,989294,287863
China,1990,1047545,274964
China,1991,1055859,292590
China,1992,1113235,317910
China,1993,1215613,360714
China,1994,1280656,379042
China,1995,1371933,402500
China,1996,1431212,440669
China,1997,1491101,416243
China,1998,1548265,421205
China,1999,1624727,437647
China,2000,1759894,457637
China,2001,1809920,463346
China,2002,1884806,468976
China,2003,1915396,452508
China,2004,1978313,449305
China,2005,2032564,451883
China,2006,2059153,433763
China,2007,2128088,452650
China,2008,2222570,481147
China,2009,2265887,530869
China,2010,2349606,568934
China,2011,2420152,627415
China,2012,2497279,665096
China,2013,2541768,702607
Germany,1961,118159,94680
Germany,1962,122048,105951
Germany,1963,125453,106370
Germany,1964,127003,108207
Germany,1965,128292,109418
Germany,1966,131182,112205
Germany,1967,133335,112647
Germany,1968,137849,114004
Germany,1969,138532,111579
Germany,1970,142238,106221
Germany,1971,142534,105711
Germany,1972,143502,107799
Germany,1973,147168,104507
Germany,1974,143607,102809
Germany,1975,145574,100690
Germany,1976,146192,98058
Germany,1977,145227,100858
Germany,1978,148948,103308
Germany,1979,149646,105061
Germany,1980,149305,103207
Germany,1981,148299,98951
Germany,1982,153263,100596
Germany,1983,153497,94661
Germany,1984,156068,103171
Germany,1985,155944,105154
Germany,1986,158242,102766
Germany,1987,159241,94599
Germany,1988,163382,86998
Germany,1989,162876,84736
Germany,1990,156301,76050
Germany,1991,158221,53645
Germany,1992,162104,49462
Germany,1993,151185,54197
Germany,1994,154610,51908
Germany,1995,154169,53611
Germany,1996,158188,53214
Germany,1997,153425,52507
Germany,1998,155056,54528
Germany,1999,156498,50229
Germany,2000,160734,56329
Germany,2001,159574,54170
Germany,2002,163035,56397
Germany,2003,160003,49827
Germany,2004,158861,57117
Germany,2005,158622,58776
Germany,2006,160199,57114
Germany,2007,161986,53863
Germany,2008,159682,61591
Germany,2009,161449,60964
Germany,2010,157714,52945
Germany,2011,161209,52956
Germany,2012,159786,56012
Germany,2013,158473,60418
India,1961,294341,15224
India,1962,302938,15864
India,1963,299645,15510
India,1964,309298,15266
India,1965,311222,16154
India,1966,320928,15080
India,1967,332309,15184
India,1968,345454,15955
India,1969,359601,15687
India,1970,375413,16486
India,1971,371753,17779
India,1972,379168,16034
India,1973,396193,15876
India,1974,393933,16271
India,1975,419904,17879
India,1976,413035,18043
India,1977,448126,18485
India,1978,466017,21253
India,1979,462331,20090
India,1980,462715,18340
India,1981,490465,20115
India,1982,496884,20084
India,1983,545609,20934
India,1984,569040,21161
India,1985,571741,20829
India,1986,584283,21164
India,1987,602298,21277
India,1988,630903,23453
India,1989,665527,25401
India,1990,650393,30776
India,1991,683189,33285
India,1992,715283,35301
India,1993,721789,37022
India,1994,741235,39220
India,1995,765616,42493
India,1996,779348,44064
India,1997,811097,44947
India,1998,860358,47295
India,1999,898706,50498
India,2000,879821,54525
India,2001,893520,58423
India,2002,873998,58639
India,2003,900490,64443
India,2004,892889,65541
India,2005,923028,65504
India,2006,985943,70401
India,2007,1043677,76472
India,2008,1085868,78947
India,2009,1089253,77530
India,2010,1139043,87807
India,2011,1175435,92304
India,2012,1200891,94298
India,2013,1238335,98258
Indonesia,1961,60962,1060
Indonesia,1962,63652,1148
Indonesia,1963,64415,1096
Indonesia,1964,69404,1304
Indonesia,1965,69215,1377
Indonesia,1966,67903,1190
Indonesia,1967,68581,1164
Indonesia,1968,71228,1366
Indonesia,1969,71449,1330
Indonesia,1970,73318,1388
Indonesia,1971,75491,1401
Indonesia,1972,77646,1154
Indonesia,1973,86067,1614
Indonesia,1974,88032,1646
Indonesia,1975,87189,1491
Indonesia,1976,85251,1514
Indonesia,1977,91153,1556
Indonesia,1978,93439,1726
Indonesia,1979,96805,1788
Indonesia,1980,101432,2135
Indonesia,1981,108410,2746
Indonesia,1982,106498,2564
Indonesia,1983,113342,2884
Indonesia,1984,117045,2967
Indonesia,1985,119374,2922
Indonesia,1986,126085,3128
Indonesia,1987,128525,3217
Indonesia,1988,134393,3286
Indonesia,1989,137966,3478
Indonesia,1990,127126,4380
Indonesia,1991,130769,4424
Indonesia,1992,137626,4902
Indonesia,1993,141852,5302
Indonesia,1994,148741,6979
Indonesia,1995,165413,9228
Indonesia,1996,162975,6447
Indonesia,1997,160541,6098
Indonesia,1998,161484,5056
Indonesia,1999,164559,9264
Indonesia,2000,166192,11303
Indonesia,2001,169856,11671
Indonesia,2002,175604,12640
Indonesia,2003,182488,12207
Indonesia,2004,188954,11615
Indonesia,2005,190390,12776
Indonesia,2006,197607,13103
Indonesia,2007,202154,13880
Indonesia,2008,207534,13930
Indonesia,2009,216973,14493
Indonesia,2010,220224,15969
Indonesia,2011,231674,18114
Indonesia,2012,239477,18110
Indonesia,2013,237826,19062
Japan,1961,97046,15095
Japan,1962,102022,16612
Japan,1963,107065,16825
Japan,1964,108955,19325
Japan,1965,111266,19136
Japan,1966,115263,21439
Japan,1967,119585,22397
Japan,1968,125335,25249
Japan,1969,125671,26613
Japan,1970,128927,28565
Japan,1971,131200,28878
Japan,1972,137273,31982
Japan,1973,138122,33624
Japan,1974,137798,32309
Japan,1975,139895,31172
Japan,1976,141228,32458
Japan,1977,147387,38804
Japan,1978,149124,39134
Japan,1979,151924,41939
Japan,1980,151042,42598
Japan,1981,149971,41461
Japan,1982,154354,41361
Japan,1983,155746,43292
Japan,1984,155045,46037
Japan,1985,159154,45523
Japan,1986,161512,49216
Japan,1987,164575,49484
Japan,1988,166809,49453
Japan,1989,169566,47409
Japan,1990,167945,47354
Japan,1991,167514,46775
Japan,1992,170293,46201
Japan,1993,168506,45580
Japan,1994,170675,43161
Japan,1995,171876,43754
Japan,1996,171723,41244
Japan,1997,170266,42338
Japan,1998,165769,39468
Japan,1999,167757,39567
Japan,2000,167122,38151
Japan,2001,166009,37970
Japan,2002,163971,39488
Japan,2003,161983,38318
Japan,2004,161174,37847
Japan,2005,161647,37428
Japan,2006,157123,38492
Japan,2007,159049,36663
Japan,2008,154388,35949
Japan,2009,151087,37513
Japan,2010,149452,36100
Japan,2011,152253,34664
Japan,2012,155480,34991
Japan,2013,153161,34952
Mexico,1961,32481,3037
Mexico,1962,34209,3304
Mexico,1963,35752,3895
Mexico,1964,37234,4251
Mexico,1965,39918,4758
Mexico,1966,43242,6311
Mexico,1967,45749,6408
Mexico,1968,46907,8334
Mexico,1969,47963,9207
Mexico,1970,49880,10496
Mexico,1971,53348,10238
Mexico,1972,57418,10962
Mexico,1973,60246,11684
Mexico,1974,63361,12182
Mexico,1975,64820,15364
Mexico,1976,66727,12888
Mexico,1977,69959,15722
Mexico,1978,75744,15842
Mexico,1979,79221,16351
Mexico,1980,87329,21419
Mexico,1981,90163,25449
Mexico,1982,91611,23215
Mexico,1983,90814,25512
Mexico,1984,93310,26185
Mexico,1985,96768,24954
Mexico,1986,96860,26536
Mexico,1987,95990,25728
Mexico,1988,100014,23311
Mexico,1989,101688,25719
Mexico,1990,105470,28249
Mexico,1991,106537,23238
Mexico,1992,112388,26582
Mexico,1993,115416,31069
Mexico,1994,116703,26770
Mexico,1995,116201,25517
Mexico,1996,120253,33431
Mexico,1997,124717,28834
Mexico,1998,126100,37940
Mexico,1999,134783,33574
Mexico,2000,139583,36194
Mexico,2001,146233,41133
Mexico,2002,147183,40154
Mexico,2003,149928,43558
Mexico,2004,151893,42871
